filename,{{{1}}},{{{2}}},{{{3}}},{{{4}}},{{{5}}},{{{6}}},{{{7}}},{{{8}}},{{{9}}},{{{10}}},{{{11}}},{{{12}}},{{{13}}},{{{14}}},{{{15}}},{{{16}}},{{{17}}},{{{18}}},{{{19}}},{{{20}}},{{{21}}},{{{22}}},{{{23}}},{{{24}}},{{{25}}},{{{26}}},{{{27}}},{{{28}}},{{{29}}}
sidebar_proc.html,Ch0,All Chapters,All Chapters (pdf),All Chapters.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch1,Voting Systems,Voting Systems,Voting Systems.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch2,Squares,a) Magic Squares,A) Magic Squares.html,b) Latin Squares,B) Latin Squares.html,c) Euler Squares,C) Euler Squares.html,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch3,Knight Tours,Knight Tours,Knight Tours.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch4,Tiling,Tiling,Tiling.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch5,Triangle Problem,Triangle Problem,Triangle Problem.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch6,Grid Puzzles,Grid Puzzles,Grid Puzzles.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch7,Wason Test,Wason Test,Wason Test.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch8,Pigeonhole Principle,Pigeonhole Principle,Pigeon Hole Principle.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch9,Multiples,Multiples,Multiples.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch10,Paradoxes,Paradoxes,Paradoxes.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch11,Quotes,Quotes,Quotes.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch12,Heron’s Theorem,Heron’s Theorem,Herons Theorem.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch13,Three Games,Three Games,Three Games.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch14,Möbius Strip,Möbius Strip,Mobius Strip.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch15,Choosing a Pub,Choosing a Pub,Choosing a Pub.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch16,Lewis Carroll,Lewis Carroll,Lewis Carroll.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch17,Codes,a) Error Detecting Codes,A) Error Detecting Codes.html,b) Error Correcting Codes,B) Error Correcting Codes.html,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch18,Rationals and Irrationals,Rationals and Irrationals,Rationals and Irrationals.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch19,A Nice Proof,A Nice Proof,A Nice Proof.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch20,A Nice Sum,A Nice Sum,A Nice Sum.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch21,Logic,a) Propositions,A) Propositions.html,b) If … Then,B) if … Then.html,c) Arguments with If … Then,C) Arguments With if ... Then.html,"d) Arguments with All, None, Some",D) Arguments  With All  None  Some.html,e) Hat Puzzles,E) Hat Puzzles.html,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch22,Switching Circuits,Switching Circuits,Switching Circuits.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch23,Venn Diagrams,Venn Diagrams,Venn Diagrams and Tables.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch24,Snowflake Curve,Snowflake Curve,Snowflake Curve.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch25,Arrangements and Selections,Arrangements and Selections,Arrangements and Selections.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch26,Proof,a) Proof by Contradiction,A) Proof by Contradiction.html,b) Proof by Induction,B) Proof by Induction.html,c) Proving The Contrapositive,C) Proving the Contrapositive.html,d) Proof using Selections,D) Proof Using Selections.html,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch27,Pascal’s Triangle,Pascal’s Triangle,Pascals Triangle.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch28,How To Tune A Piano,How To Tune A Piano,How to Tune a Piano.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch29,Dodgy Algebra,Dodgy Algebra,Dodgy Algebra.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch30,Graph Theory,a) Graphs,A) Graphs.html,b) Euler Tours,B) Euler Tours.html,c) Hamilton Tours,C) Hamilton Tours.html,d) Euler’s Formula,D) Eulers Formula.html,e) Map Colouring,E) Map Colouring.html,f) Tessellations,F) Tessellations.html,g) Polyhedrons,G) Polyhedrons.html,h) Points and Regions,H) Points and Regions.html,i) Sprouts,I) Sprouts.html,,,,,,,,,
sidebar_proc.html,Ch31,Probability Theory,a) Dodgy Probability,A) Dodgy Probability.html,b) Probability,B) Probability.html,c) Probability Fallacies,C) Probability Fallacies.html,d) Probability Paradoxes,D) Probability Paradoxes.html,e) Coins,E) Coins.html,f) Tennis,F) Tennis.html,g) Collecting Cards,G) Collecting Cards.html,h) Party Game,H) Party Game.html,,,,,,,,,,,
sidebar_proc.html,Ch32,Number Theory,a) Fundamental Theorem of Arithmetic,A) Fundamental Theorem of Arithmetic.html,b) Euclid’s Algorithm,B) Euclids Algorithm.html,c) Prime Numbers,C) Prime Numbers.html,d) Modulo Arithmetic,D) Modulo Arithmetic.html,e) Chinese Remainder Theorem,E) Chinese Remainder Theorem.html,f) Fermat’s Last Theorem,F) Fermats Last Theorem.html,g) Fermat’s Little Theorem,G) Fermats Little Theorem.html,h) Card Shuffles,H) Card Shuffles.html,i) Casting Out Nines,I) Casting Out Nines.html,j) Perfect Numbers,J) Perfect Numbers.html,k) Sums of Squares,K) Sums of Squares.html,,,,,
sidebar_proc.html,Ch33,Recurrence Relations,a) Recurrence relations,A) Recurrence Relations.html,b) Cutting a Pizza,B) Cutting a Pizza.html,c) Tower of Hanoi,C) Tower of Hanoi.html,d) Derangements,D) Derangements.html,e) Fibonacci Numbers,E) Fibonacci Numbers.html,f) Polygonal Numbers,F) Polygonal Numbers.html,g) A Nice Integral,G) a Nice Integral.html,,,,,,,,,,,,,
sidebar_proc.html,Ch34,Group Theory,a) Groups,A) Groups.html,b) Group Theorems,B) Group Theorems.html,c) Symmetries of a Rectangle,C) Symmetries of a Rectangle.html,d) Symmetries of a Triangle,D) Symmetries of a Triangle.html,e) Rearrangements,E) Rearrangements.html,f) Friezes,F) Friezes.html,,,,,,,,,,,,,,,
sidebar_proc.html,Ch35,Encryption,Encryption,Encryption.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch36,e,e,E.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch37,pi,pi,Pi.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch38,Dodgy Integrals,Dodgy Integrals,Dodgy Integrals.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch39,Lanchester’s Model,Lanchester’s Model,Lanchesters Model.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch40,Paint Pot,Paint Pot,Paint Pot.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch41,Infinite Series,Infinite Series,Infinite Series.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch42,Maclaurin Series,Maclaurin Series,Maclaurin Series.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch43,Complex Numbers,a) Complex Numbers,A) Complex Numbers.html,b) Euler’s Identity,B) Eulers Identity.html,c) Using Complex Numbers,C) Using Complex Numbers.html,d) Julia Sets,D) Julia Sets.html,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch44,Infinite Numbers,Infinite Numbers,Infinite Numbers.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch45,Appendix 1,Short Programs,Appendix 1.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch46,Appendix 2,"Sequences, Logarithms",Appendix 2.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch47,Appendix 3,Resources,Appendix 3.html,,,,,,,,,,,,,,,,,,,,,,,,,
sidebar_proc.html,Ch48,Appendix 4,a) Euler’s Sine Formula,A) Eulers Sine Formula.html,b) Euler’s Zeta Function,B) Eulers Zeta Function.html,c) Euler’s Prime Sum,C) Eulers Prime Sum.html,d) Euler’s Constant,D) Eulers Constant.html,,,,,,,,,,,,,,,,,,,
